ym,year,month,Black,Other,White
2015001,2015,JANUARY,23,25,43
2015002,2015,FEBRUARY,21,17,45
2015003,2015,MARCH,37,19,58
2015004,2015,APRIL,32,18,52
2015005,2015,MAY,25,10,51
2015006,2015,JUNE,19,20,40
2015007,2015,JULY,28,27,68
2015008,2015,AUGUST,27,24,51
2015009,2015,SEPTEMBER,21,27,47
2015010,2015,OCTOBER,27,23,40
2015011,2015,NOVEMBER,21,17,43
2015012,2015,DECEMBER,22,32,40
2016001,2016,JANUARY,16,16,55
2016002,2016,FEBRUARY,26,27,47
2016003,2016,MARCH,21,26,52
2016004,2016,APRIL,22,15,44
2016005,2016,MAY,22,20,43
2016006,2016,JUNE,28,32,38
2016007,2016,JULY,25,25,32
2016008,2016,AUGUST,16,32,41
2016009,2016,SEPTEMBER,20,30,33
2016010,2016,OCTOBER,16,40,49
2016011,2016,NOVEMBER,23,27,44
2016012,2016,DECEMBER,13,25,44
